week_end,H_t,I_t,state_probs_json,state_label,d_t,a_t,g_t_raw,g_t_stress,s_t,drift_probe_raw,drift_flag,maha,huber_weight,eigval_1,eigval_2_raw,eigval_2_reg,condition_number_raw,condition_number_reg,eigval_2_was_floored,state_ok,is_warm
2003-01-17,,,,WARMUP,,,,,,2.312996631222908,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
2003-01-24,,,,WARMUP,,,,,,4.61435912957975,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
2003-01-31,,,,WARMUP,,,,,,9.004626260622253,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
2003-02-07,,,,WARMUP,,,,,,6.56758192827358,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
2003-02-14,,,,WARMUP,,,,,,6.501298620481632,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
2003-02-21,,,,WARMUP,,,,,,7.977612099577241,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
2003-02-28,,,,WARMUP,,,,,,7.91452577037017,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
2003-03-07,,,,WARMUP,,,,,,7.341216883956429,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
2003-03-14,,,,WARMUP,,,,,,5.645978337000467,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
2003-03-21,,,,WARMUP,,,,,,4.552759085089143,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
2003-03-28,,,,WARMUP,,,,,,3.1633072510194657,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
2003-04-04,,,,WARMUP,,,,,,2.399306561802556,1,0.0,1.0,0.6608268323983368,0.09975659590580953,0.09975659590580953,6.624392366217984,6.624392366217984,False,True,False
