week_end,rho_t,k_hat_t,drift_flag,omega_qqq_target,omega_shy_target,omega_qqq_final,omega_shy_final,rebalance_required,circuit_breaker_active,reason
2021-04-09,0.8063685769928621,4,0,0.19363142300713787,0.8063685769928621,0.19363142300713787,0.8063685769928621,True,False,rebalance
2021-04-16,0.8257805344356196,4,0,0.1742194655643804,0.8257805344356196,0.19363142300713787,0.8063685769928621,False,False,turnover_below_threshold
2021-04-23,0.6928882366927461,4,0,0.30711176330725387,0.6928882366927461,0.30711176330725387,0.6928882366927461,True,False,rebalance
2021-04-30,0.7451897498827371,2,0,0.2548102501172629,0.7451897498827371,0.2548102501172629,0.7451897498827371,True,False,rebalance
2021-05-07,0.6628284094759886,2,0,0.33717159052401136,0.6628284094759886,0.33717159052401136,0.6628284094759886,True,False,rebalance
2021-05-14,0.7787320323551535,3,0,0.22126796764484646,0.7787320323551535,0.22126796764484646,0.7787320323551535,True,False,rebalance
2021-05-21,0.6683131960766022,3,0,0.3316868039233978,0.6683131960766022,0.3316868039233978,0.6683131960766022,True,False,rebalance
2021-05-28,0.5628501638073248,2,0,0.4371498361926752,0.5628501638073248,0.4371498361926752,0.5628501638073248,True,False,rebalance
2021-06-04,0.3903558232724111,2,0,0.6096441767275889,0.39035582327241114,0.6096441767275889,0.39035582327241114,True,False,rebalance
2021-06-11,0.3506070920027757,2,0,0.6493929079972243,0.35060709200277573,0.6096441767275889,0.39035582327241114,False,False,turnover_below_threshold
2021-06-18,0.2811650936355531,2,0,0.7188349063644469,0.2811650936355531,0.7188349063644469,0.2811650936355531,True,False,rebalance
2021-06-25,0.1950290814600302,2,0,0.8049709185399698,0.19502908146003017,0.8049709185399698,0.19502908146003017,True,False,rebalance
2021-07-02,0.1573778990452353,2,0,0.8426221009547648,0.15737789904523525,0.8049709185399698,0.19502908146003017,False,False,turnover_below_threshold
2021-07-09,0.0934776275497619,2,0,0.9065223724502381,0.09347762754976185,0.9065223724502381,0.09347762754976185,True,False,rebalance
2021-07-16,0.3253348636499749,4,0,0.6746651363500251,0.3253348636499749,0.6746651363500251,0.3253348636499749,True,False,rebalance
2021-07-23,0.2614436435116823,4,0,0.7385563564883177,0.26144364351168226,0.7385563564883177,0.26144364351168226,True,False,rebalance
2021-07-30,0.1503014722875648,4,0,0.8496985277124351,0.15030147228756485,0.8496985277124351,0.15030147228756485,True,False,rebalance
2021-08-06,0.1341385151864035,2,0,0.8658614848135965,0.13413851518640352,0.8496985277124351,0.15030147228756485,False,False,turnover_below_threshold
2021-08-13,0.1656848994213762,2,0,0.8343151005786238,0.1656848994213762,0.8496985277124351,0.15030147228756485,False,False,turnover_below_threshold
2021-08-20,0.2639918178427781,3,0,0.736008182157222,0.26399181784277803,0.736008182157222,0.26399181784277803,True,False,rebalance
