raw_symbol,canonical_symbol,instrument_id,id_type,share_class,raw_weight,normalized_weight,normalization_status,normalization_source,normalization_override_flag,raw_name,isin,cusip,sedol,exchange,asset_class,price_join_required
NVDA,NVDA,CUSIP:67066G104,CUSIP,,8.411618,0.08411618000000001,resolved_by_primary_id,canonical_master_primary_id,False,NVIDIA Corp,,67066G104,,NASDAQ,equity,True
AAPL,AAPL,CUSIP:037833100,CUSIP,,7.173928,0.07173928,resolved_by_primary_id,canonical_master_primary_id,False,Apple Inc,,037833100,,NASDAQ,equity,True
MSFT,MSFT,CUSIP:594918104,CUSIP,,5.368057,0.053680570000000004,resolved_by_primary_id,canonical_master_primary_id,False,Microsoft Corp,,594918104,,NASDAQ,equity,True
AMZN,AMZN,CUSIP:023135106,CUSIP,,5.02316,0.0502316,resolved_by_primary_id,canonical_master_primary_id,False,Amazon.com Inc,,023135106,,NASDAQ,equity,True
GOOGL,GOOGL,CUSIP:02079K305,CUSIP,,3.91681,0.0391681,resolved_by_primary_id,canonical_master_primary_id,False,Alphabet Inc Class A,,02079K305,,NASDAQ,equity,True
GOOG,GOOG,CUSIP:02079K107,CUSIP,,3.63504,0.0363504,resolved_by_primary_id,canonical_master_primary_id,False,Alphabet Inc Class C,,02079K107,,NASDAQ,equity,True
AVGO,AVGO,CUSIP:11135F101,CUSIP,,3.484082,0.03484082,resolved_by_primary_id,canonical_master_primary_id,False,Broadcom Inc,,11135F101,,NASDAQ,equity,True
TSLA,TSLA,CUSIP:88160R101,CUSIP,,3.402474,0.034024740000000005,resolved_by_primary_id,canonical_master_primary_id,False,Tesla Inc,,88160R101,,NASDAQ,equity,True
META,META,CUSIP:30303M102,CUSIP,,3.131739,0.03131739,resolved_by_primary_id,canonical_master_primary_id,False,Meta Platforms Inc,,30303M102,,NASDAQ,equity,True
WMT,WMT,CUSIP:931142103,CUSIP,,3.097126,0.030971259999999997,resolved_by_primary_id,canonical_master_primary_id,False,Walmart Inc,,931142103,,NASDAQ,equity,True
MU,MU,CUSIP:595112103,CUSIP,,2.938707,0.02938707,resolved_by_primary_id,canonical_master_primary_id,False,Micron Technology Inc,,595112103,,NASDAQ,equity,True
AMD,AMD,CUSIP:007903107,CUSIP,,2.830674,0.02830674,resolved_by_primary_id,canonical_master_primary_id,False,Advanced Micro Devices Inc,,007903107,,NASDAQ,equity,True
INTC,INTC,CUSIP:458140100,CUSIP,,2.396192,0.02396192,resolved_by_primary_id,canonical_master_primary_id,False,Intel Corp,,458140100,,NASDAQ,equity,True
COST,COST,CUSIP:22160K105,CUSIP,,2.165589,0.02165589,resolved_by_primary_id,canonical_master_primary_id,False,Costco Wholesale Corp,,22160K105,,NASDAQ,equity,True
NFLX,NFLX,CUSIP:64110L106,CUSIP,,1.87174,0.0187174,resolved_by_primary_id,canonical_master_primary_id,False,Netflix Inc,,64110L106,,NASDAQ,equity,True
CSCO,CSCO,CUSIP:17275R102,CUSIP,,1.747045,0.01747045,resolved_by_primary_id,canonical_master_primary_id,False,Cisco Systems Inc,,17275R102,,NASDAQ,equity,True
PLTR,PLTR,CUSIP:69608A108,CUSIP,,1.589742,0.01589742,resolved_by_primary_id,canonical_master_primary_id,False,Palantir Technologies Inc,,69608A108,,NASDAQ,equity,True
LRCX,LRCX,CUSIP:512807306,CUSIP,,1.543768,0.01543768,resolved_by_primary_id,canonical_master_primary_id,False,Lam Research Corp,,512807306,,NASDAQ,equity,True
AMAT,AMAT,CUSIP:038222105,CUSIP,,1.486913,0.01486913,resolved_by_primary_id,canonical_master_primary_id,False,Applied Materials Inc,,038222105,,NASDAQ,equity,True
TXN,TXN,CUSIP:882508104,CUSIP,,1.228139,0.012281390000000001,resolved_by_primary_id,canonical_master_primary_id,False,Texas Instruments Inc,,882508104,,NASDAQ,equity,True
LIN,LIN,CUSIP:G54950103,CUSIP,,1.133405,0.01133405,resolved_by_primary_id,canonical_master_primary_id,False,Linde PLC,,G54950103,,NASDAQ,equity,True
KLAC,KLAC,CUSIP:482480100,CUSIP,,1.089615,0.01089615,resolved_by_primary_id,canonical_master_primary_id,False,KLA Corp,,482480100,,NASDAQ,equity,True
TMUS,TMUS,CUSIP:872590104,CUSIP,,1.040296,0.010402960000000001,resolved_by_primary_id,canonical_master_primary_id,False,T-Mobile US Inc,,872590104,,NASDAQ,equity,True
PEP,PEP,CUSIP:713448108,CUSIP,,1.035926,0.010359259999999999,resolved_by_primary_id,canonical_master_primary_id,False,PepsiCo Inc,,713448108,,NASDAQ,equity,True
ADI,ADI,CUSIP:032654105,CUSIP,,0.934942,0.00934942,resolved_by_primary_id,canonical_master_primary_id,False,Analog Devices Inc,,032654105,,NASDAQ,equity,True
QCOM,QCOM,CUSIP:747525103,CUSIP,,0.909498,0.00909498,resolved_by_primary_id,canonical_master_primary_id,False,QUALCOMM Inc,,747525103,,NASDAQ,equity,True
AMGN,AMGN,CUSIP:031162100,CUSIP,,0.85617,0.0085617,resolved_by_primary_id,canonical_master_primary_id,False,Amgen Inc,,031162100,,NASDAQ,equity,True
SNDK,SNDK,CUSIP:80004C200,CUSIP,,0.843689,0.00843689,resolved_by_primary_id,canonical_master_primary_id,False,Sandisk Corp/DE,,80004C200,,NASDAQ,equity,True
GILD,GILD,CUSIP:375558103,CUSIP,,0.787008,0.00787008,resolved_by_primary_id,canonical_master_primary_id,False,Gilead Sciences Inc,,375558103,,NASDAQ,equity,True
ISRG,ISRG,CUSIP:46120E602,CUSIP,,0.782857,0.00782857,resolved_by_primary_id,canonical_master_primary_id,False,Intuitive Surgical Inc,,46120E602,,NASDAQ,equity,True
STX,STX,CUSIP:G7997R103,CUSIP,,0.76337,0.0076337,resolved_by_primary_id,canonical_master_primary_id,False,Seagate Technology Holdings PLC,,G7997R103,,NASDAQ,equity,True
SHOP,SHOP,CUSIP:82509L107,CUSIP,,0.753759,0.007537589999999999,resolved_by_primary_id,canonical_master_primary_id,False,Shopify Inc,,82509L107,,NASDAQ,equity,True
PANW,PANW,CUSIP:697435105,CUSIP,,0.711543,0.007115430000000001,resolved_by_primary_id,canonical_master_primary_id,False,Palo Alto Networks Inc,,697435105,,NASDAQ,equity,True
WDC,WDC,CUSIP:958102105,CUSIP,,0.704511,0.00704511,resolved_by_primary_id,canonical_master_primary_id,False,Western Digital Corp,,958102105,,NASDAQ,equity,True
MRVL,MRVL,CUSIP:573874104,CUSIP,,0.691996,0.00691996,resolved_by_primary_id,canonical_master_primary_id,False,Marvell Technology Inc,,573874104,,NASDAQ,equity,True
APP,APP,CUSIP:03831W108,CUSIP,,0.680194,0.006801939999999999,resolved_by_primary_id,canonical_master_primary_id,False,AppLovin Corp,,03831W108,,NASDAQ,equity,True
HON,HON,CUSIP:438516106,CUSIP,,0.650481,0.00650481,resolved_by_primary_id,canonical_master_primary_id,False,Honeywell International Inc,,438516106,,NASDAQ,equity,True
BKNG,BKNG,CUSIP:09857L108,CUSIP,,0.646808,0.00646808,resolved_by_primary_id,canonical_master_primary_id,False,Booking Holdings Inc,,09857L108,,NASDAQ,equity,True
ASML,ASML,CUSIP:N07059210,CUSIP,,0.605391,0.00605391,resolved_by_primary_id,canonical_master_primary_id,False,ASML Holding NV,,N07059210,,NASDAQ,equity,True
SBUX,SBUX,CUSIP:855244109,CUSIP,,0.580996,0.005809959999999999,resolved_by_primary_id,canonical_master_primary_id,False,Starbucks Corp,,855244109,,NASDAQ,equity,True
CRWD,CRWD,CUSIP:22788C105,CUSIP,,0.553134,0.00553134,resolved_by_primary_id,canonical_master_primary_id,False,Crowdstrike Holdings Inc,,22788C105,,NASDAQ,equity,True
CEG,CEG,CUSIP:21037T109,CUSIP,,0.536563,0.00536563,resolved_by_primary_id,canonical_master_primary_id,False,Constellation Energy Corp,,21037T109,,NASDAQ,equity,True
INTU,INTU,CUSIP:461202103,CUSIP,,0.531411,0.0053141099999999995,resolved_by_primary_id,canonical_master_primary_id,False,Intuit Inc,,461202103,,NASDAQ,equity,True
VRTX,VRTX,CUSIP:92532F100,CUSIP,,0.518577,0.005185769999999999,resolved_by_primary_id,canonical_master_primary_id,False,Vertex Pharmaceuticals Inc,,92532F100,,NASDAQ,equity,True
ADBE,ADBE,CUSIP:00724F101,CUSIP,,0.492137,0.0049213699999999996,resolved_by_primary_id,canonical_master_primary_id,False,Adobe Inc,,00724F101,,NASDAQ,equity,True
CMCSA,CMCSA,CUSIP:20030N101,CUSIP,,0.46984,0.0046984,resolved_by_primary_id,canonical_master_primary_id,False,Comcast Corp,,20030N101,,NASDAQ,equity,True
CDNS,CDNS,CUSIP:127387108,CUSIP,,0.453285,0.00453285,resolved_by_primary_id,canonical_master_primary_id,False,Cadence Design Systems Inc,,127387108,,NASDAQ,equity,True
MAR,MAR,CUSIP:571903202,CUSIP,,0.45295,0.0045295000000000005,resolved_by_primary_id,canonical_master_primary_id,False,Marriott International Inc/MD,,571903202,,NASDAQ,equity,True
MELI,MELI,CUSIP:58733R102,CUSIP,,0.451651,0.0045165100000000005,resolved_by_primary_id,canonical_master_primary_id,False,MercadoLibre Inc,,58733R102,,NASDAQ,equity,True
SNPS,SNPS,CUSIP:871607107,CUSIP,,0.451104,0.00451104,resolved_by_primary_id,canonical_master_primary_id,False,Synopsys Inc,,871607107,,NASDAQ,equity,True
ADP,ADP,CUSIP:053015103,CUSIP,,0.415339,0.00415339,resolved_by_primary_id,canonical_master_primary_id,False,Automatic Data Processing Inc,,053015103,,NASDAQ,equity,True
CSX,CSX,CUSIP:126408103,CUSIP,,0.403765,0.00403765,resolved_by_primary_id,canonical_master_primary_id,False,CSX Corp,,126408103,,NASDAQ,equity,True
ORLY,ORLY,CUSIP:67103H107,CUSIP,,0.390326,0.00390326,resolved_by_primary_id,canonical_master_primary_id,False,O'Reilly Automotive Inc,,67103H107,,NASDAQ,equity,True
MDLZ,MDLZ,CUSIP:609207105,CUSIP,,0.378819,0.0037881900000000003,resolved_by_primary_id,canonical_master_primary_id,False,Mondelez International Inc,,609207105,,NASDAQ,equity,True
MPWR,MPWR,CUSIP:609839105,CUSIP,,0.37454,0.0037454,resolved_by_primary_id,canonical_master_primary_id,False,Monolithic Power Systems Inc,,609839105,,NASDAQ,equity,True
MNST,MNST,CUSIP:61174X109,CUSIP,,0.363301,0.00363301,resolved_by_primary_id,canonical_master_primary_id,False,Monster Beverage Corp,,61174X109,,NASDAQ,equity,True
NXPI,NXPI,CUSIP:N6596X109,CUSIP,,0.359258,0.00359258,resolved_by_primary_id,canonical_master_primary_id,False,NXP Semiconductors NV,,N6596X109,,NASDAQ,equity,True
AEP,AEP,CUSIP:025537101,CUSIP,,0.356583,0.00356583,resolved_by_primary_id,canonical_master_primary_id,False,American Electric Power Co Inc,,025537101,,NASDAQ,equity,True
ROST,ROST,CUSIP:778296103,CUSIP,,0.356428,0.0035642800000000004,resolved_by_primary_id,canonical_master_primary_id,False,Ross Stores Inc,,778296103,,NASDAQ,equity,True
REGN,REGN,CUSIP:75886F107,CUSIP,,0.350952,0.00350952,resolved_by_primary_id,canonical_master_primary_id,False,Regeneron Pharmaceuticals Inc,,75886F107,,NASDAQ,equity,True
DASH,DASH,CUSIP:25809K105,CUSIP,,0.34714,0.0034714,resolved_by_primary_id,canonical_master_primary_id,False,DoorDash Inc,,25809K105,,NASDAQ,equity,True
BKR,BKR,CUSIP:05722G100,CUSIP,,0.32893,0.0032893,resolved_by_primary_id,canonical_master_primary_id,False,Baker Hughes Co,,05722G100,,NASDAQ,equity,True
CTAS,CTAS,CUSIP:172908105,CUSIP,,0.326611,0.00326611,resolved_by_primary_id,canonical_master_primary_id,False,Cintas Corp,,172908105,,NASDAQ,equity,True
WBD,WBD,CUSIP:934423104,CUSIP,,0.322077,0.00322077,resolved_by_primary_id,canonical_master_primary_id,False,Warner Bros Discovery Inc,,934423104,,NASDAQ,equity,True
PDD,PDD,CUSIP:722304102,CUSIP,,0.320738,0.00320738,resolved_by_primary_id,canonical_master_primary_id,False,PDD Holdings Inc,,722304102,,NASDAQ,equity,True
FTNT,FTNT,CUSIP:34959E109,CUSIP,,0.307459,0.00307459,resolved_by_primary_id,canonical_master_primary_id,False,Fortinet Inc,,34959E109,,NASDAQ,equity,True
PCAR,PCAR,CUSIP:693718108,CUSIP,,0.293966,0.00293966,resolved_by_primary_id,canonical_master_primary_id,False,PACCAR Inc,,693718108,,NASDAQ,equity,True
ABNB,ABNB,CUSIP:009066101,CUSIP,,0.288946,0.00288946,resolved_by_primary_id,canonical_master_primary_id,False,Airbnb Inc,,009066101,,NASDAQ,equity,True
FANG,FANG,CUSIP:25278X109,CUSIP,,0.282061,0.00282061,resolved_by_primary_id,canonical_master_primary_id,False,Diamondback Energy Inc,,25278X109,,NASDAQ,equity,True
MSTR,MSTR,CUSIP:594972408,CUSIP,,0.267988,0.00267988,resolved_by_primary_id,canonical_master_primary_id,False,Strategy Inc,,594972408,,NASDAQ,equity,True
FAST,FAST,CUSIP:311900104,CUSIP,,0.249657,0.00249657,resolved_by_primary_id,canonical_master_primary_id,False,Fastenal Co,,311900104,,NASDAQ,equity,True
ADSK,ADSK,CUSIP:052769106,CUSIP,,0.249453,0.00249453,resolved_by_primary_id,canonical_master_primary_id,False,Autodesk Inc,,052769106,,NASDAQ,equity,True
XEL,XEL,CUSIP:98389B100,CUSIP,,0.248093,0.00248093,resolved_by_primary_id,canonical_master_primary_id,False,Xcel Energy Inc,,98389B100,,NASDAQ,equity,True
MCHP,MCHP,CUSIP:595017104,CUSIP,,0.244817,0.00244817,resolved_by_primary_id,canonical_master_primary_id,False,Microchip Technology Inc,,595017104,,NASDAQ,equity,True
EA,EA,CUSIP:285512109,CUSIP,,0.243536,0.00243536,resolved_by_primary_id,canonical_master_primary_id,False,Electronic Arts Inc,,285512109,,NASDAQ,equity,True
FER,FER,CUSIP:N3168P101,CUSIP,,0.238984,0.00238984,resolved_by_primary_id,canonical_master_primary_id,False,Ferrovial SE,,N3168P101,,NASDAQ,equity,True
EXC,EXC,CUSIP:30161N101,CUSIP,,0.229046,0.00229046,resolved_by_primary_id,canonical_master_primary_id,False,Exelon Corp,,30161N101,,NASDAQ,equity,True
PYPL,PYPL,CUSIP:70450Y103,CUSIP,,0.223623,0.00223623,resolved_by_primary_id,canonical_master_primary_id,False,PayPal Holdings Inc,,70450Y103,,NASDAQ,equity,True
DDOG,DDOG,CUSIP:23804L103,CUSIP,,0.222291,0.00222291,resolved_by_primary_id,canonical_master_primary_id,False,Datadog Inc,,23804L103,,NASDAQ,equity,True
IDXX,IDXX,CUSIP:45168D104,CUSIP,,0.217579,0.00217579,resolved_by_primary_id,canonical_master_primary_id,False,IDEXX Laboratories Inc,,45168D104,,NASDAQ,equity,True
