trade_date,ticker,weight,asof_timestamp,instrument_id,normalized_weight
2021-09-03,AAPL,0.144,2021-09-03T16:00:00,AAPL,0.144
2021-09-03,MSFT,0.128,2021-09-03T16:00:00,MSFT,0.128
2021-09-03,NVDA,0.128,2021-09-03T16:00:00,NVDA,0.128
2021-09-03,AMZN,0.08,2021-09-03T16:00:00,AMZN,0.08
2021-09-03,META,0.08,2021-09-03T16:00:00,META,0.08
2021-09-03,GOOGL,0.04,2021-09-03T16:00:00,GOOGL,0.04
2021-09-03,GOOG,0.04,2021-09-03T16:00:00,GOOG,0.04
2021-09-03,TSLA,0.048,2021-09-03T16:00:00,TSLA,0.048
2021-09-03,AVGO,0.048,2021-09-03T16:00:00,AVGO,0.048
2021-09-03,COST,0.032,2021-09-03T16:00:00,COST,0.032
2021-09-03,NFLX,0.024,2021-09-03T16:00:00,NFLX,0.024
2021-09-03,AMD,0.024,2021-09-03T16:00:00,AMD,0.024
2021-09-03,ADBE,0.016,2021-09-03T16:00:00,ADBE,0.016
2021-09-03,QCOM,0.032,2021-09-03T16:00:00,QCOM,0.032
2021-09-03,PEP,0.024,2021-09-03T16:00:00,PEP,0.024
2021-09-03,INTU,0.032,2021-09-03T16:00:00,INTU,0.032
2021-09-03,CSCO,0.024,2021-09-03T16:00:00,CSCO,0.024
2021-09-03,TXN,0.024,2021-09-03T16:00:00,TXN,0.024
2021-09-03,AMGN,0.016,2021-09-03T16:00:00,AMGN,0.016
2021-09-03,AMAT,0.016,2021-09-03T16:00:00,AMAT,0.016
