trade_date,ticker,weight,asof_timestamp,instrument_id,normalized_weight
2022-03-25,AAPL,0.144,2022-03-25T16:00:00,AAPL,0.144
2022-03-25,MSFT,0.128,2022-03-25T16:00:00,MSFT,0.128
2022-03-25,NVDA,0.128,2022-03-25T16:00:00,NVDA,0.128
2022-03-25,AMZN,0.08,2022-03-25T16:00:00,AMZN,0.08
2022-03-25,META,0.08,2022-03-25T16:00:00,META,0.08
2022-03-25,GOOGL,0.04,2022-03-25T16:00:00,GOOGL,0.04
2022-03-25,GOOG,0.04,2022-03-25T16:00:00,GOOG,0.04
2022-03-25,TSLA,0.048,2022-03-25T16:00:00,TSLA,0.048
2022-03-25,AVGO,0.048,2022-03-25T16:00:00,AVGO,0.048
2022-03-25,COST,0.032,2022-03-25T16:00:00,COST,0.032
2022-03-25,NFLX,0.024,2022-03-25T16:00:00,NFLX,0.024
2022-03-25,AMD,0.024,2022-03-25T16:00:00,AMD,0.024
2022-03-25,ADBE,0.016,2022-03-25T16:00:00,ADBE,0.016
2022-03-25,QCOM,0.032,2022-03-25T16:00:00,QCOM,0.032
2022-03-25,PEP,0.024,2022-03-25T16:00:00,PEP,0.024
2022-03-25,INTU,0.032,2022-03-25T16:00:00,INTU,0.032
2022-03-25,CSCO,0.024,2022-03-25T16:00:00,CSCO,0.024
2022-03-25,TXN,0.024,2022-03-25T16:00:00,TXN,0.024
2022-03-25,AMGN,0.016,2022-03-25T16:00:00,AMGN,0.016
2022-03-25,AMAT,0.016,2022-03-25T16:00:00,AMAT,0.016
