trade_date,ticker,weight,asof_timestamp,instrument_id,normalized_weight
2023-07-21,AAPL,0.144,2023-07-21T16:00:00,AAPL,0.144
2023-07-21,MSFT,0.128,2023-07-21T16:00:00,MSFT,0.128
2023-07-21,NVDA,0.128,2023-07-21T16:00:00,NVDA,0.128
2023-07-21,AMZN,0.08,2023-07-21T16:00:00,AMZN,0.08
2023-07-21,META,0.08,2023-07-21T16:00:00,META,0.08
2023-07-21,GOOGL,0.04,2023-07-21T16:00:00,GOOGL,0.04
2023-07-21,GOOG,0.04,2023-07-21T16:00:00,GOOG,0.04
2023-07-21,TSLA,0.048,2023-07-21T16:00:00,TSLA,0.048
2023-07-21,AVGO,0.048,2023-07-21T16:00:00,AVGO,0.048
2023-07-21,COST,0.032,2023-07-21T16:00:00,COST,0.032
2023-07-21,NFLX,0.024,2023-07-21T16:00:00,NFLX,0.024
2023-07-21,AMD,0.024,2023-07-21T16:00:00,AMD,0.024
2023-07-21,ADBE,0.016,2023-07-21T16:00:00,ADBE,0.016
2023-07-21,QCOM,0.032,2023-07-21T16:00:00,QCOM,0.032
2023-07-21,PEP,0.024,2023-07-21T16:00:00,PEP,0.024
2023-07-21,INTU,0.032,2023-07-21T16:00:00,INTU,0.032
2023-07-21,CSCO,0.024,2023-07-21T16:00:00,CSCO,0.024
2023-07-21,TXN,0.024,2023-07-21T16:00:00,TXN,0.024
2023-07-21,AMGN,0.016,2023-07-21T16:00:00,AMGN,0.016
2023-07-21,AMAT,0.016,2023-07-21T16:00:00,AMAT,0.016
