trade_date,ticker,weight,asof_timestamp,instrument_id,normalized_weight
2026-03-13,AAPL,0.144,2026-03-13T16:00:00,AAPL,0.144
2026-03-13,MSFT,0.128,2026-03-13T16:00:00,MSFT,0.128
2026-03-13,NVDA,0.128,2026-03-13T16:00:00,NVDA,0.128
2026-03-13,AMZN,0.08,2026-03-13T16:00:00,AMZN,0.08
2026-03-13,META,0.08,2026-03-13T16:00:00,META,0.08
2026-03-13,GOOGL,0.04,2026-03-13T16:00:00,GOOGL,0.04
2026-03-13,GOOG,0.04,2026-03-13T16:00:00,GOOG,0.04
2026-03-13,TSLA,0.048,2026-03-13T16:00:00,TSLA,0.048
2026-03-13,AVGO,0.048,2026-03-13T16:00:00,AVGO,0.048
2026-03-13,COST,0.032,2026-03-13T16:00:00,COST,0.032
2026-03-13,NFLX,0.024,2026-03-13T16:00:00,NFLX,0.024
2026-03-13,AMD,0.024,2026-03-13T16:00:00,AMD,0.024
2026-03-13,ADBE,0.016,2026-03-13T16:00:00,ADBE,0.016
2026-03-13,QCOM,0.032,2026-03-13T16:00:00,QCOM,0.032
2026-03-13,PEP,0.024,2026-03-13T16:00:00,PEP,0.024
2026-03-13,INTU,0.032,2026-03-13T16:00:00,INTU,0.032
2026-03-13,CSCO,0.024,2026-03-13T16:00:00,CSCO,0.024
2026-03-13,TXN,0.024,2026-03-13T16:00:00,TXN,0.024
2026-03-13,AMGN,0.016,2026-03-13T16:00:00,AMGN,0.016
2026-03-13,AMAT,0.016,2026-03-13T16:00:00,AMAT,0.016
