trade_date,ticker,weight,asof_timestamp,instrument_id,normalized_weight
2023-12-01,AAPL,0.144,2023-12-01T16:00:00,AAPL,0.144
2023-12-01,MSFT,0.128,2023-12-01T16:00:00,MSFT,0.128
2023-12-01,NVDA,0.128,2023-12-01T16:00:00,NVDA,0.128
2023-12-01,AMZN,0.08,2023-12-01T16:00:00,AMZN,0.08
2023-12-01,META,0.08,2023-12-01T16:00:00,META,0.08
2023-12-01,GOOGL,0.04,2023-12-01T16:00:00,GOOGL,0.04
2023-12-01,GOOG,0.04,2023-12-01T16:00:00,GOOG,0.04
2023-12-01,TSLA,0.048,2023-12-01T16:00:00,TSLA,0.048
2023-12-01,AVGO,0.048,2023-12-01T16:00:00,AVGO,0.048
2023-12-01,COST,0.032,2023-12-01T16:00:00,COST,0.032
2023-12-01,NFLX,0.024,2023-12-01T16:00:00,NFLX,0.024
2023-12-01,AMD,0.024,2023-12-01T16:00:00,AMD,0.024
2023-12-01,ADBE,0.016,2023-12-01T16:00:00,ADBE,0.016
2023-12-01,QCOM,0.032,2023-12-01T16:00:00,QCOM,0.032
2023-12-01,PEP,0.024,2023-12-01T16:00:00,PEP,0.024
2023-12-01,INTU,0.032,2023-12-01T16:00:00,INTU,0.032
2023-12-01,CSCO,0.024,2023-12-01T16:00:00,CSCO,0.024
2023-12-01,TXN,0.024,2023-12-01T16:00:00,TXN,0.024
2023-12-01,AMGN,0.016,2023-12-01T16:00:00,AMGN,0.016
2023-12-01,AMAT,0.016,2023-12-01T16:00:00,AMAT,0.016
